Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,14259995441
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,356.4962141
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,18031989573
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,7242.455131
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1.86231E+11
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4160.559267
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,750000000
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,15236.16049
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3324648076
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,42425.70665
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,79559543805
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2303.908127
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1602125926
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,17348.6007
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,4.86564E+11
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,10738.01792
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,13878908629
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4685.179971
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2880902799
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,26749.32961
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.56062E+12
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,60758.90444
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,4.80466E+11
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,53648.6438
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,54825411765
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,5408.045352
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,12037000000
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,30367.86058
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,40840212766
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,27147.80839
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4.16272E+11
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2482.849178
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,5947550000
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,21079.61453
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,69673747132
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,7489.718947
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,5.98522E+11
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,51658.23829
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,2428606250
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,6142.989306
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,17687623530
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1318.651581
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,7290037000
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,112765.0817
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2768802960
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,3570.61258
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,47877892402
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,4010.760537
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,23672712121
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,7295.343787
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,18750182236
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,7807.887946
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1.67065E+12
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,7972.536961
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,14006496617
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,31006.96363
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,84374613233
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,12966.14575
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,19697516284
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,895.5352884
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,3435598073
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,264.9803793
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,2051842619
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3971.444092
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,36790163687
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,2167.403242
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,45011937347
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1672.326573
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,2.02238E+12
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,52886.66164
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,6060813808
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,86449.6749
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2516498412
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,492.2631428
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,16871937698
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,946.3585002
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,11157540110
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,66915.39639
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,3.15326E+11
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,16206.83255
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1.82017E+13
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,12887.43572
