Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,14259995441.0759
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,356.496214115892
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,18031989573.0294
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,7242.45513146613
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,186231205262.082
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4160.55926736925
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,750000000
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,15236.1604875571
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3324648075.56293
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,42425.7066454357
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,79559543805.2963
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2303.90812662776
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1602125925.92593
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,17348.6006987182
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,486564085480.036
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,10738.0179223384
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,13878908628.9378
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4685.17997128509
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2880902798.92288
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,26749.3296093118
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1560617493202.69
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,60758.9044397144
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,480466363176.806
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,53648.6437976214
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,54825411764.7059
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,5408.04535175023
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,12037000000
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,30367.8605757708
